bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_038,39.785819,-0.395901,A-23,i-DE,1800,Congested
FRIC_039,39.683552,-0.32512,A-23,i-DE,1800,Congested
FRIC_040,39.95829,-0.627628,A-23,i-DE,1800,Congested
FRIC_041,39.923672,-0.572914,A-23,i-DE,1800,Congested
FRIC_042,42.214973,2.657554,A-26,Endesa,1800,Moderate
FRIC_043,41.126306,1.229256,A-27,Endesa,1800,Congested
FRIC_044,39.601955,-2.284121,A-3,i-DE,1800,Congested
FRIC_045,40.347213,-3.544948,A-3,i-DE,1800,Congested
FRIC_046,39.516351,-2.220242,A-3,i-DE,1800,Congested
FRIC_047,39.955379,-2.917834,A-3,i-DE,1800,Congested
FRIC_048,39.534201,-1.175376,A-3,i-DE,1800,Congested
FRIC_049,39.448821,-0.84864,A-3,i-DE,1800,Congested
FRIC_050,38.35616,-0.675829,A-31,Viesgo,1800,Congested
FRIC_051,39.140947,-2.04464,A-31,Viesgo,1800,Congested
FRIC_052,39.016516,-1.860925,A-31,Viesgo,1800,Congested
FRIC_053,39.316992,-2.203711,A-31,Viesgo,1800,Congested
FRIC_054,38.824155,-0.925658,A-35,Viesgo,1800,Congested
FRIC_055,39.18344,-0.296496,A-38,Viesgo,1800,Congested
FRIC_056,38.278758,-3.600702,A-4,Endesa,1800,Congested
FRIC_057,38.771686,-3.403411,A-4,Endesa,1800,Congested
FRIC_058,40.222008,-3.686536,A-4,Endesa,1800,Congested
FRIC_059,38.095935,-3.803976,A-4,Endesa,1800,Congested
FRIC_060,40.026214,-2.950793,A-40,i-DE,1800,Congested
FRIC_061,40.073398,-2.293468,A-40,i-DE,1800,Congested
FRIC_062,39.934805,-4.112646,A-40,i-DE,1800,Congested
FRIC_063,39.984412,-3.116222,A-40,i-DE,1800,Congested
FRIC_064,38.789201,-4.070615,A-41,i-DE,1800,Congested
FRIC_065,39.841724,-3.981243,A-42,i-DE,1800,Congested
FRIC_066,40.257043,-3.762991,A-42,i-DE,1800,Congested
FRIC_067,36.851753,-3.492028,A-44,Endesa,1800,Moderate
FRIC_068,37.22889,-3.666618,A-44,Endesa,1800,Moderate
FRIC_069,37.238167,-4.540459,A-45,Endesa,1800,Congested
FRIC_070,36.357219,-6.106151,A-48,Endesa,1800,Congested
FRIC_071,37.360411,-6.197077,A-49,Endesa,1800,Congested
FRIC_072,37.36825,-6.105999,A-49,Endesa,1800,Congested
FRIC_073,38.656496,-3.459561,A-4A,i-DE,1800,Congested
FRIC_074,38.920469,-6.960597,A-5,i-DE,1800,Congested
FRIC_075,38.881773,-6.442718,A-5,i-DE,1800,Congested
FRIC_076,38.890823,-7.011955,A-5,i-DE,1800,Congested
FRIC_077,39.926389,-5.192166,A-5,i-DE,1800,Congested
FRIC_078,39.034542,-6.069144,A-5,i-DE,1800,Congested
FRIC_079,39.886591,-5.528096,A-5,i-DE,1800,Congested
FRIC_080,40.809173,-4.87754,A-50,i-DE,1800,Congested
FRIC_081,40.361373,-3.808657,A-5R,Viesgo,1800,Congested
FRIC_082,41.051953,-4.700335,A-6,i-DE,1800,Congested
FRIC_083,40.554981,-3.899158,A-6,i-DE,1800,Congested
FRIC_084,41.280725,-4.892545,A-6,i-DE,1800,Congested
FRIC_085,40.608465,-3.973676,A-6,i-DE,1800,Congested
FRIC_086,42.415582,-5.359388,A-60,Viesgo,1800,Congested
FRIC_087,42.14075,-4.106933,A-62,i-DE,1800,Congested
FRIC_088,41.519428,-4.936182,A-62,i-DE,1800,Congested
FRIC_089,40.588635,-6.778965,A-62,i-DE,1800,Congested
FRIC_090,39.191647,-6.27749,A-66,i-DE,1800,Congested
FRIC_091,38.389938,-6.340617,A-66,i-DE,1800,Congested
FRIC_092,42.38691,-4.385695,A-67,i-DE,1800,Congested
FRIC_093,42.450176,-4.392189,A-67,i-DE,1800,Congested
FRIC_094,41.763469,-1.183965,A-68,i-DE,1800,Congested
FRIC_095,36.517495,-4.865655,A-7,Endesa,1800,Moderate
FRIC_096,36.732864,-4.320781,A-7,Endesa,1800,Congested
FRIC_097,39.010888,-0.562239,A-7,Endesa,1800,Congested
FRIC_098,36.759178,-3.710237,A-7,Endesa,1800,Moderate
FRIC_099,41.1277,1.237026,A-7,Endesa,1800,Congested
FRIC_100,36.446695,-5.093106,A-7,Endesa,1800,Congested
FRIC_101,36.738373,-3.378148,A-7,Endesa,1800,Moderate
FRIC_102,36.726011,-4.507986,A-7,Endesa,1800,Moderate
FRIC_103,39.465851,-0.550783,A-7,Endesa,1800,Congested
FRIC_104,36.201188,-5.424957,A-7,Endesa,1800,Congested
FRIC_105,36.745943,-3.487441,A-7,Endesa,1800,Moderate
FRIC_106,38.39246,-0.547078,A-77,Viesgo,1800,Congested
FRIC_107,43.373536,-3.21886,A-8,Viesgo,1800,Congested
FRIC_108,43.329799,-3.964225,A-8,Viesgo,1800,Congested
FRIC_109,40.676252,-4.640683,AV-20,i-DE,1800,Congested
FRIC_110,41.340068,2.113615,B-10,Endesa,1800,Congested
FRIC_111,41.471366,2.278505,B-20,Endesa,1800,Congested
FRIC_112,41.30219,2.056046,B-22,Endesa,1800,Congested
FRIC_113,41.380236,1.920951,B-24,Endesa,1800,Congested
FRIC_114,41.502789,2.122042,B-30,Endesa,1800,Congested
FRIC_115,41.553071,1.976101,B-40,Endesa,1800,Congested
FRIC_116,42.304696,-3.745343,BU-30,i-DE,1800,Congested
FRIC_117,36.56648,-6.202896,CA-32,Endesa,1800,Congested
FRIC_118,36.467807,-6.167937,CA-33,Endesa,1800,Congested
FRIC_119,36.532789,-6.203041,CA-35,Endesa,1800,Congested
FRIC_120,36.523135,-6.222573,CA-36,Endesa,1800,Congested
FRIC_121,39.984225,-0.005789,CS-22,Viesgo,1800,Congested
FRIC_122,38.608624,-0.669199,CV-80,Viesgo,1800,Congested
FRIC_123,38.299406,-0.669402,EL-20,Viesgo,1800,Congested
FRIC_124,36.745189,-3.563489,GR-14,Endesa,1800,Moderate
FRIC_125,36.73693,-3.491745,GR-16,Endesa,1800,Moderate
FRIC_126,37.15795,-3.612606,GR-30,Endesa,1800,Moderate
FRIC_127,37.213651,-3.71476,GR-43,Endesa,1800,Moderate
FRIC_128,37.24526,-6.943928,H-30,Endesa,1800,Congested
FRIC_129,37.309002,-6.890905,H-31,Endesa,1800,Congested
FRIC_130,42.439142,-2.537421,LO-20,i-DE,1800,Congested
FRIC_131,40.471116,-3.605602,M-11,Viesgo,1800,Congested
FRIC_132,40.479175,-3.604351,M-13,Viesgo,1800,Congested
FRIC_133,40.457045,-3.582031,M-14,Viesgo,1800,Congested
FRIC_134,40.449177,-3.603852,M-21,Viesgo,1800,Congested
FRIC_135,40.438973,-3.560087,M-22,Viesgo,1800,Congested
FRIC_136,40.41772,-3.65537,M-23,Viesgo,1800,Congested
FRIC_137,40.372441,-3.653559,M-31,Viesgo,1800,Congested
FRIC_138,40.449177,-3.603852,M-40,Viesgo,1800,Congested
FRIC_139,40.359125,-3.763305,M-40,Viesgo,1800,Congested
FRIC_140,36.708853,-4.457766,MA-20,Endesa,1800,Moderate
FRIC_141,36.666964,-4.467195,MA-23,Endesa,1800,Moderate
FRIC_142,36.723986,-4.292043,MA-24,Endesa,1800,Congested
FRIC_143,40.80543,-4.338844,N-110,i-DE,1800,Congested
FRIC_144,40.564652,-5.076193,N-110,i-DE,1800,Congested
FRIC_145,40.757299,-4.445618,N-110,i-DE,1800,Congested
FRIC_146,40.391254,-5.447025,N-110,i-DE,1800,Congested
FRIC_147,40.682575,-4.625855,N-110,i-DE,1800,Congested
FRIC_148,40.516239,-5.225735,N-110,i-DE,1800,Congested
FRIC_149,42.055556,-2.523925,N-111,i-DE,1800,Congested
FRIC_150,42.054846,-2.538843,N-111A,i-DE,1800,Congested
FRIC_151,42.38919,-3.982292,N-120,Viesgo,1800,Congested
FRIC_152,42.39636,-4.156815,N-120,Viesgo,1800,Congested
FRIC_153,42.379249,-4.497458,N-120,Viesgo,1800,Congested
FRIC_154,42.450672,-2.990398,N-120A,i-DE,1800,Congested
FRIC_155,41.602992,-4.464442,N-122,i-DE,1800,Congested
FRIC_156,41.605167,-4.049745,N-122,i-DE,1800,Congested
FRIC_157,41.630638,-3.562283,N-122,i-DE,1800,Congested
FRIC_158,41.614012,-3.935887,N-122,i-DE,1800,Congested
FRIC_159,41.646679,-3.642715,N-122,i-DE,1800,Congested
FRIC_160,41.576557,-3.113595,N-122R,i-DE,1800,Congested
FRIC_161,41.659872,-1.003271,N-125,i-DE,1800,Congested
FRIC_162,42.433055,1.936737,N-152,Endesa,1800,Moderate
FRIC_163,42.462309,1.987193,N-154,Endesa,1800,Moderate
FRIC_164,42.462345,1.987186,N-155,Endesa,1800,Moderate
FRIC_165,42.433741,2.866135,N-2,Endesa,1800,Moderate
FRIC_166,41.560257,-0.619262,N-2,Endesa,1800,Congested
FRIC_167,41.513292,-0.508846,N-2,Endesa,1800,Congested
FRIC_168,39.49041,-0.469796,N-220,Viesgo,1800,Congested
FRIC_169,39.774091,-0.367888,N-225,Viesgo,1800,Congested
FRIC_170,39.765624,-0.347137,N-225A,Viesgo,1800,Congested
FRIC_171,41.524046,-0.655566,N-232,i-DE,1800,Congested
FRIC_172,42.477907,-2.643312,N-232,i-DE,1800,Congested
FRIC_173,42.104798,-3.50797,N-234,i-DE,1800,Congested
FRIC_174,42.242013,-3.674793,N-234,i-DE,1800,Congested
FRIC_175,42.234892,2.289943,N-260,Endesa,1800,Moderate
FRIC_176,42.292284,2.160705,N-260,Endesa,1800,Moderate
FRIC_177,42.374236,1.634346,N-260,Endesa,1800,Moderate
FRIC_178,42.369838,1.799424,N-260R,Endesa,1800,Moderate
FRIC_179,39.746435,-3.155054,N-301,i-DE,1800,Congested
FRIC_180,39.422308,-2.635569,N-301,i-DE,1800,Congested
FRIC_181,39.080346,-3.224593,N-310,i-DE,1800,Congested
FRIC_182,40.620107,-3.240399,N-320,i-DE,1800,Congested
FRIC_183,40.591555,-3.095269,N-320A,i-DE,1800,Congested
FRIC_184,37.453861,-3.632902,N-323A,Endesa,1800,Moderate
FRIC_185,38.335555,-0.778773,N-325,Viesgo,1800,Congested
FRIC_186,39.158469,-1.078735,N-330,i-DE,1800,Congested
FRIC_187,39.378184,-1.115154,N-330,i-DE,1800,Congested
FRIC_188,39.231293,-1.059074,N-330A,Viesgo,1800,Congested
FRIC_189,37.214506,-4.536402,N-331,Endesa,1800,Congested
FRIC_190,39.129342,-0.288266,N-332,Viesgo,1800,Congested
FRIC_191,38.839871,-0.000951,N-332,Viesgo,1800,Congested
FRIC_192,38.173617,-0.623535,N-332,Viesgo,1800,Congested
FRIC_193,38.716417,0.058814,N-332A,Viesgo,1800,Congested
FRIC_194,39.183067,-0.269336,N-332R,Viesgo,1800,Congested
FRIC_195,38.976172,-0.162052,N-337,Viesgo,1800,Congested
FRIC_196,38.993121,-0.184506,N-337A,Viesgo,1800,Congested
FRIC_197,38.280644,-0.536687,N-338,Viesgo,1800,Congested
FRIC_198,37.425183,-5.895094,N-339,Endesa,1800,Congested
FRIC_199,36.260913,-5.964761,N-340,Endesa,1800,Congested
FRIC_200,36.260034,-5.973956,N-340,Endesa,1800,Congested
FRIC_201,40.034408,0.023758,N-340,Endesa,1800,Congested
FRIC_202,36.695802,-3.46455,N-340,Endesa,1800,Moderate
FRIC_203,39.795185,-0.181015,N-340,Endesa,1800,Congested
FRIC_204,36.252622,-5.934294,N-340,Endesa,1800,Congested
FRIC_205,38.277511,-0.650887,N-340,Endesa,1800,Congested
FRIC_206,36.722697,-3.363255,N-340,Endesa,1800,Moderate
FRIC_207,40.918487,0.819963,N-340,Endesa,1800,Congested
FRIC_208,41.350153,1.721979,N-340,Endesa,1800,Congested
FRIC_209,41.123817,1.278477,N-340R,Endesa,1800,Congested
FRIC_210,37.612577,-0.896406,N-345,Viesgo,1800,Congested
FRIC_211,36.748584,-6.067705,N-346,Endesa,1800,Moderate
FRIC_212,36.703703,-6.082302,N-349,Endesa,1800,Congested
FRIC_213,36.112109,-5.45704,N-350,Endesa,1800,Congested
FRIC_214,36.179873,-5.379438,N-351,Endesa,1800,Congested
FRIC_215,37.071056,-5.848942,N-4,Endesa,1800,Congested
FRIC_216,40.055444,-2.401381,N-400,i-DE,1800,Congested
FRIC_217,40.055184,-2.497996,N-400,i-DE,1800,Congested
FRIC_218,40.062104,-2.819806,N-400A,i-DE,1800,Congested
FRIC_219,39.816872,-3.983959,N-401,i-DE,1800,Congested
FRIC_220,39.03365,-3.929623,N-401,i-DE,1800,Congested
FRIC_221,39.236151,-3.769942,N-401,i-DE,1800,Congested
FRIC_222,39.669851,-3.935085,N-401A,i-DE,1800,Moderate
FRIC_223,40.420643,-4.494202,N-403,i-DE,1800,Congested
FRIC_224,40.498352,-4.67736,N-403,i-DE,1800,Congested
FRIC_225,40.949987,-4.636348,N-403,i-DE,1800,Congested
FRIC_226,40.468638,-4.625866,N-403,i-DE,1800,Congested
FRIC_227,40.189195,-4.405038,N-403A,i-DE,1800,Congested
FRIC_228,38.037776,-4.371173,N-420,i-DE,1800,Congested
FRIC_229,39.962495,-2.026322,N-420,i-DE,1800,Congested
FRIC_230,39.79656,-2.361564,N-420,i-DE,1800,Congested
FRIC_231,38.92326,-3.15568,N-430,i-DE,1800,Congested
FRIC_232,39.038804,-2.270438,N-430,i-DE,1800,Congested
FRIC_233,39.032784,-3.693573,N-430,i-DE,1800,Congested
FRIC_234,38.995104,-4.250461,N-430,i-DE,1800,Moderate
FRIC_235,39.031765,-5.84408,N-430,i-DE,1800,Congested
FRIC_236,38.976177,-3.937612,N-430C,i-DE,1800,Congested
FRIC_237,37.320201,-7.071708,N-431,Endesa,1800,Congested
FRIC_238,37.257621,-3.765693,N-432,Endesa,1800,Moderate
FRIC_239,37.456421,-6.804349,N-435A,Endesa,1800,Congested
FRIC_240,37.195228,-6.925347,N-442,Endesa,1800,Congested
FRIC_241,38.405668,-3.500677,N-4A,Endesa,1800,Congested
FRIC_242,38.953576,-6.247438,N-5,i-DE,1800,Congested
FRIC_243,40.876367,-5.054784,N-501,i-DE,1800,Congested
FRIC_244,40.870602,-5.017723,N-501,i-DE,1800,Congested
FRIC_245,39.770429,-4.942335,N-502,i-DE,1800,Congested
FRIC_246,39.944351,-4.883401,N-502,i-DE,1800,Congested
FRIC_247,39.963705,-4.920697,N-502,i-DE,1800,Congested
FRIC_248,40.410502,-5.031746,N-502,i-DE,1800,Congested
FRIC_249,39.929117,-4.844318,N-502,i-DE,1800,Congested
FRIC_250,40.206458,-5.042557,N-502,i-DE,1800,Congested
FRIC_251,39.515222,-7.04795,N-521,i-DE,1800,Congested
FRIC_252,39.429783,-6.830117,N-521,i-DE,1800,Congested
FRIC_253,38.925222,-6.938552,N-523,i-DE,1800,Congested
FRIC_254,39.353316,-6.46789,N-523,i-DE,1800,Congested
FRIC_255,42.403838,-5.35416,N-601,Viesgo,1800,Congested
FRIC_256,41.456038,-4.66861,N-601,Viesgo,1800,Congested
FRIC_257,42.095512,-5.210768,N-601,Viesgo,1800,Congested
FRIC_258,41.959119,-5.106805,N-601,Viesgo,1800,Congested
FRIC_259,40.825973,-4.176659,N-603,i-DE,1800,Congested
FRIC_260,42.068832,-5.263449,N-610,i-DE,1800,Congested
FRIC_261,42.401325,-4.366366,N-611,Viesgo,1800,Congested
FRIC_262,41.34931,-5.180529,N-620,i-DE,1800,Congested
FRIC_263,41.483318,-5.041666,N-620,i-DE,1800,Congested
FRIC_264,40.578179,-6.565474,N-620A,i-DE,1800,Congested
FRIC_265,42.087459,-4.134464,N-622,i-DE,1800,Congested
FRIC_266,42.079645,-4.070172,N-622A,i-DE,1800,Congested
FRIC_267,43.37167,-3.428045,N-629,Viesgo,1800,Congested
FRIC_268,43.132279,-3.456022,N-629,Viesgo,1800,Congested
FRIC_269,43.282223,-3.440866,N-629A,Viesgo,1800,Congested
FRIC_270,38.261316,-6.304349,N-630,i-DE,1800,Congested
FRIC_271,39.241251,-6.302219,N-630,i-DE,1800,Congested
FRIC_272,39.585803,-6.463503,N-630,i-DE,1800,Congested
FRIC_273,38.359504,-6.32883,N-630,i-DE,1800,Congested
FRIC_274,43.350387,-3.172092,N-634,Viesgo,1800,Congested
FRIC_275,37.41239,-6.032079,SE-30,Endesa,1800,Congested
FRIC_276,37.370474,-5.865241,SE-40,Endesa,1800,Congested
FRIC_277,41.134364,1.143155,T-11,Endesa,1800,Congested
FRIC_278,39.914242,-4.084663,TO-21,i-DE,1800,Congested
FRIC_279,39.918272,-3.939474,TO-22,i-DE,1800,Congested
FRIC_280,39.4821,-0.458241,V-11,Viesgo,1800,Congested
FRIC_281,39.635705,-0.303646,V-21,Viesgo,1800,Congested
FRIC_282,39.626944,-0.301121,V-23,Viesgo,1800,Congested
FRIC_283,39.514156,-0.477876,V-30,Viesgo,1800,Congested
FRIC_284,41.619027,-0.955112,Z-40,i-DE,1800,Congested
