location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_122,38.500536,-4.37491,N-420,12,Moderate
IBE_123,42.731606,-8.645487,N-550R,12,Sufficient
IBE_124,40.468638,-4.625866,N-403,12,Congested
IBE_125,42.245083,-1.887769,N-232,12,Sufficient
IBE_126,43.067428,-5.021041,N-625,12,Sufficient
IBE_127,40.813867,-0.607993,N-211,4,Sufficient
IBE_128,39.91058,-1.354301,N-330,10,Sufficient
IBE_129,38.256232,-4.978474,N-502,2,Moderate
IBE_130,37.974313,-7.102157,N-433,9,Moderate
IBE_131,40.616976,-2.725509,N-204,2,Congested
IBE_132,42.93826,-3.730116,N-232,12,Sufficient
IBE_133,42.604788,-0.12346,N-260A,12,Sufficient
IBE_134,43.464349,-5.127345,N-632,12,Sufficient
IBE_135,41.270905,0.0503,N-211,12,Sufficient
IBE_136,42.324019,0.742115,N-230,12,Sufficient
IBE_137,37.705101,-6.299656,N-433,7,Moderate
IBE_138,39.104769,-5.1201,N-430,12,Moderate
IBE_139,38.273739,-5.816552,N-432,2,Moderate
IBE_140,39.276588,-1.551151,N-322,12,Moderate
IBE_141,36.748584,-6.067705,N-346,12,Moderate
IBE_142,42.781413,0.690472,N-141,12,Congested
IBE_143,41.852634,-1.682689,N-122,4,Congested
IBE_144,42.669249,-2.999036,N-1,11,Congested
IBE_145,42.365889,3.150269,N-260,12,Sufficient
IBE_146,39.248359,-2.628756,N-310,7,Moderate
IBE_147,37.599983,-4.306639,N-432A,12,Moderate
IBE_148,40.542245,0.438085,N-238,4,Sufficient
IBE_149,38.139248,-6.694268,N-435,9,Moderate
