location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_047,41.21892,-2.286549,A-2,12,Sufficient
IBE_048,41.655085,-2.504177,N-111,12,Sufficient
IBE_049,38.995104,-4.250461,N-430,12,Moderate
IBE_050,39.695231,-5.699038,A-5,12,Moderate
IBE_051,36.748584,-6.067705,N-346,12,Moderate
IBE_052,38.831609,-2.247967,N-322,12,Sufficient
IBE_053,39.669851,-3.935085,N-401A,12,Moderate
IBE_054,39.918692,-1.860304,N-420,12,Sufficient
IBE_055,39.376063,-1.343575,N-322,12,Moderate
IBE_056,39.564484,-2.074612,N-3,12,Moderate
IBE_057,41.514323,0.269333,N-2A,12,Sufficient
IBE_058,39.091935,-5.033798,N-430,12,Moderate
IBE_059,37.36825,-6.105999,A-49,12,Moderate
IBE_060,37.195228,-6.925347,N-442,12,Moderate
IBE_061,40.620107,-3.240399,N-320,12,Congested
IBE_062,37.612577,-0.896406,N-345,12,Moderate
IBE_063,41.659872,-1.003271,N-125,12,Sufficient
IBE_064,36.260034,-5.973956,N-340,12,Moderate
IBE_065,41.513292,-0.508846,N-2,12,Sufficient
IBE_066,38.405668,-3.500677,N-4A,12,Sufficient
IBE_067,36.446695,-5.093106,A-7,12,Moderate
IBE_068,40.055444,-2.401381,N-400,12,Moderate
IBE_069,39.422308,-2.635569,N-301,12,Moderate
IBE_070,38.771686,-3.403411,A-4,12,Moderate
IBE_071,39.984225,-0.005789,CS-22,12,Sufficient
IBE_072,38.359504,-6.32883,N-630,12,Moderate
IBE_073,42.095512,-5.210768,N-601,12,Sufficient
IBE_074,38.037776,-4.371173,N-420,12,Moderate
IBE_075,42.379249,-4.497458,N-120,12,Moderate
IBE_076,38.881773,-6.442718,A-5,12,Moderate
IBE_077,39.923672,-0.572914,A-23,12,Sufficient
IBE_078,41.471366,2.278505,B-20,12,Sufficient
IBE_079,41.350153,1.721979,N-340,12,Sufficient
IBE_080,38.839871,-0.000951,N-332,12,Moderate
IBE_081,37.238167,-4.540459,A-45,12,Moderate
IBE_082,41.051953,-4.700335,A-6,12,Moderate
IBE_083,43.373536,-3.21886,A-8,12,Moderate
IBE_084,39.429783,-6.830117,N-521,12,Moderate
IBE_085,41.602992,-4.464442,N-122,12,Moderate
IBE_086,37.071056,-5.848942,N-4,12,Moderate
IBE_087,39.031765,-5.84408,N-430,12,Moderate
IBE_088,38.890823,-7.011955,A-5,12,Moderate
IBE_089,42.477907,-2.643312,N-232,12,Congested
IBE_090,42.054846,-2.538843,N-111A,12,Congested
IBE_091,41.636888,-3.781056,A-11R,12,Moderate
IBE_092,42.14075,-4.106933,A-62,12,Moderate
IBE_093,39.984412,-3.116222,A-40,12,Moderate
IBE_094,39.770429,-4.942335,N-502,12,Congested
IBE_095,40.468638,-4.625866,N-403,12,Congested
IBE_096,42.104798,-3.50797,N-234,12,Congested
IBE_097,39.236151,-3.769942,N-401,12,Moderate
IBE_098,40.206458,-5.042557,N-502,12,Congested
IBE_099,39.010888,-0.562239,A-7,12,Congested
